pair_id,true_direction,weight,pair_name,variable_x,variable_y,n_raw,n_finite,data_url,description_url,cache_sha256,continuous_continuous,basis,time_space
11,1,0.142,Age / Viscera weight,Age,Viscera weight,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0011.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0011_des.txt,b9f309aa7100654949444cbecdb559bbd10c561444d6bcc4a2a0fa572075dfb3,no,Metadata explicitly labels Rings as integer and Viscera weight as continuous,not_documented
12,1,0.5,Age / Wage per hour,Age,Wage per hour,5000,5000,https://webdav.tuebingen.mpg.de/cause-effect/pair0012.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0012_des.txt,aca43bf3f3614ecc346cf53e550373723a6f3ef5c01503d2eb0e2cb5a91bdb73,ambiguous,Age and wage per hour; metadata does not specify age recording resolution or variable type,not_documented
13,1,0.25,Displacement / Fuel consumption,Displacement,Fuel consumption,392,392,https://webdav.tuebingen.mpg.de/cause-effect/pair0013.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0013_des.txt,0490af73ff86c01674b95eaed6d0ef015a90725a68670c9c01144b35892163df,yes,Metadata explicitly labels displacement and mpg continuous,not_documented
14,1,0.25,Horse power / Fuel consumption,Horse power,Fuel consumption,392,392,https://webdav.tuebingen.mpg.de/cause-effect/pair0014.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0014_des.txt,9c2d5a76574cd2ad43ed49d82ce366cf3249c01c13f637889fdbd905652ab92b,yes,Metadata explicitly labels horsepower and mpg continuous,not_documented
15,1,0.25,Weight / Fuel consumption,Weight,Fuel consumption,392,392,https://webdav.tuebingen.mpg.de/cause-effect/pair0015.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0015_des.txt,d183ebbd3960d841db76fe19a7452c1fd03267e9a7e6176c4c0ed1debb0a0b80,yes,Metadata explicitly labels weight and mpg continuous,not_documented
16,1,0.25,Horsepower / Acceleration,Horsepower,Acceleration,392,392,https://webdav.tuebingen.mpg.de/cause-effect/pair0016.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0016_des.txt,12b2b8b03258e6b161d9dea70820447605f445202e7b1bf22f5f14ff3abe3654,yes,Metadata explicitly labels horsepower and acceleration continuous,not_documented
17,1,0.5,Age / Dividends from stocks,Age,Dividends from stocks,5000,5000,https://webdav.tuebingen.mpg.de/cause-effect/pair0017.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0017_des.txt,728a1889f3fa60ec4501805f70dede7ff7d4edccb8099c003f83eaa6e12e6027,ambiguous,Age and stock dividends; metadata does not specify age recording resolution or variable type,not_documented
18,1,1.0,Age / Concentration GAG,Age,Concentration GAG,314,314,https://webdav.tuebingen.mpg.de/cause-effect/pair0018.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0018_des.txt,e099f5b62f92a28592df1a13e103574c4abecafc31cce1c47f253ded2c488fc4,ambiguous,Child age in years and GAG concentration; metadata does not specify age recording resolution,not_documented
19,1,1.0,Current duration / Next interval,Current duration,Next interval,194,194,https://webdav.tuebingen.mpg.de/cause-effect/pair0019.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0019_des.txt,d60445ac6c062ee172a11c1459df848c1d3bd0f5446440c94a7472c1687e3eba,yes,Eruption duration and time to next eruption in minutes; physically continuous durations,temporal
20,1,0.166,Latitude / Temperature,Latitude,Temperature,349,349,https://webdav.tuebingen.mpg.de/cause-effect/pair0020.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0020_des.txt,96b97354d69100a80c8c5046c88daf3c2b333099a5799b7632490790ce540c7c,yes,Latitude and average temperature are physical continuous quantities; DWD stations,spatial
21,1,0.167,Longitude / Precipitation,Longitude,Precipitation,349,349,https://webdav.tuebingen.mpg.de/cause-effect/pair0021.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0021_des.txt,552ee0eb9406ec021e26ccb939388080e95d5a7505ec202d2c083dca1a326693,yes,Longitude and average precipitation are physical continuous quantities; DWD stations,spatial
22,1,0.333,Age / Height,Age,Height,450,450,https://webdav.tuebingen.mpg.de/cause-effect/pair0022.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0022_des.txt,45e757b93a82bfbda2c2cf1e783e080a05deac3fa064d1eb0f4cdf80421c2f76,ambiguous,Arrhythmia age in years and height are labeled linear; this does not settle age discreteness,not_documented
23,1,0.333,Age / Weight,Age,Weight,452,452,https://webdav.tuebingen.mpg.de/cause-effect/pair0023.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0023_des.txt,c9adcdc03e25890ad4ec765f0104633cdaea84eed5a3fb4e9da0868f8fd62c46,ambiguous,Arrhythmia age in years and weight are labeled linear; this does not settle age discreteness,not_documented
24,1,0.334,Age / Heart rate,Age,Heart rate,451,451,https://webdav.tuebingen.mpg.de/cause-effect/pair0024.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0024_des.txt,128f2431e884a57a8ba2ff71d43ae8ed5f57c2a9feb65d2c8fa1f94934162544,ambiguous,Age and heart rate; metadata does not specify age recording resolution,not_documented
25,1,0.125,Cement / Compressive strength,Cement,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0025.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0025_des.txt,1addcaa40eb1e4c8bb871514dad8e22972faf0e21da4c348c49d5c3ffcc56eae,yes,Cement mass and compressive strength in MPa are physical continuous measurements,not_documented
26,1,0.125,Blast furnace slag / Compressive strength,Blast furnace slag,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0026.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0026_des.txt,1f0feacb13a0cbafbbe89e999b7f8caf5c3e640cc2ebd8175c32cae77818a95a,yes,Blast furnace slag mass and compressive strength are physical continuous measurements,not_documented
27,1,0.125,Fly ash / Compressive strength,Fly ash,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0027.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0027_des.txt,35e30bf54aba4c3cc87251133b18ffb81655be36736f9099a11d309927b4b2d0,yes,Fly ash mass and compressive strength are physical continuous measurements,not_documented
28,1,0.125,Water / Compressive strength,Water,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0028.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0028_des.txt,2a8a98b32fe3dfced8608394681cef83d81deeacc13705799cf36f18e077ea51,yes,Water mass and compressive strength are physical continuous measurements,not_documented
29,1,0.125,Superplasticizer / Compressive strength,Superplasticizer,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0029.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0029_des.txt,194d61ca176e5e5dd3b30040359ad65a1257e420c84932a38fdd452fce0ed5cb,yes,Superplasticizer mass and compressive strength are physical continuous measurements,not_documented
30,1,0.125,Coarse aggregate / Compressive strength,Coarse aggregate,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0030.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0030_des.txt,8f1268fb80f6f9d57de7d2ad11359964aef75ffeba39469d139f4bb56fc08ddd,yes,Coarse aggregate mass and compressive strength are physical continuous measurements,not_documented
31,1,0.125,Fine aggregate / Compressive strength,Fine aggregate,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0031.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0031_des.txt,a8bf2a6e871e722202db20a049bf290a0d8c414bb40f9b805993865de57db8fa,yes,Fine aggregate mass and compressive strength are physical continuous measurements,not_documented
32,1,0.125,Age / Compressive strength,Age,Compressive strength,1030,1030,https://webdav.tuebingen.mpg.de/cause-effect/pair0032.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0032_des.txt,d7751529774090ac59620ceaacce3a8d58343ea4018331c8a9fe1e2ae813cc09,ambiguous,Concrete age recorded as Day 1-365; metadata does not specify integer versus continuous coding,not_documented
33,1,0.2,Alcohol consumption / Mean corpuscular volume,Alcohol consumption,Mean corpuscular volume,345,345,https://webdav.tuebingen.mpg.de/cause-effect/pair0033.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0033_des.txt,d8ef2219d82a8e642a0b5818fc607c0a10f3f58cac793403e8450c4bb92d2521,ambiguous,Number of half-pint equivalents drunk per day; metadata does not settle count versus fractional quantity,not_documented
34,1,0.2,Alcohol consumption / Alkaline phosphotase,Alcohol consumption,Alkaline phosphotase,345,345,https://webdav.tuebingen.mpg.de/cause-effect/pair0034.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0034_des.txt,920bfaf0faa3ba8cd36a7064662d3cb52d1d8c4054ae76554837d9f77ec5e8fa,ambiguous,Number of half-pint equivalents drunk per day; metadata does not settle count versus fractional quantity,not_documented
35,1,0.2,Alcohol consumption / Alanine aminotransferase,Alcohol consumption,Alanine aminotransferase,345,345,https://webdav.tuebingen.mpg.de/cause-effect/pair0035.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0035_des.txt,9bab0c04529b7e500b60fd64f547c4b03d8c753ffe254ba634144fd1424ab964,ambiguous,Number of half-pint equivalents drunk per day; metadata does not settle count versus fractional quantity,not_documented
36,1,0.2,Alcohol consumption / Aspartate aminotransferase,Alcohol consumption,Aspartate aminotransferase,345,345,https://webdav.tuebingen.mpg.de/cause-effect/pair0036.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0036_des.txt,b794c250378864681ec54fc0af1d9bfb25bb97ab6626ded9816b43e37c6b929c,ambiguous,Number of half-pint equivalents drunk per day; metadata does not settle count versus fractional quantity,not_documented
37,1,0.2,Alcohol consumption / Gamma-glutamyl transpeptdase,Alcohol consumption,Gamma-glutamyl transpeptdase,345,345,https://webdav.tuebingen.mpg.de/cause-effect/pair0037.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0037_des.txt,648c09ea9f4a6cbe915fd5435df53ac4cb08a2355306ba4f0c36af6986de7f89,ambiguous,Number of half-pint equivalents drunk per day; metadata does not settle count versus fractional quantity,not_documented
38,1,0.25,Age / Body mass index,Age,Body mass index,757,757,https://webdav.tuebingen.mpg.de/cause-effect/pair0038.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0038_des.txt,dd84a15b689146fab60380e247ca2a05f88a49ca745eaed9cf6fcbe207ee4b66,ambiguous,Age and BMI; metadata does not specify age recording resolution,not_documented
39,1,0.25,Age / Serum insulin,Age,Serum insulin,394,394,https://webdav.tuebingen.mpg.de/cause-effect/pair0039.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0039_des.txt,ad76b5488fab7d289c0de6fdca79d004b62f3998954699b35fb7a760519dfd47,ambiguous,Age and insulin; metadata does not specify age recording resolution,not_documented
40,1,0.25,Age / Diastolic blood pressure,Age,Diastolic blood pressure,733,733,https://webdav.tuebingen.mpg.de/cause-effect/pair0040.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0040_des.txt,9a9cea5bae04e22282d9879fe932aa6d26b3a9d8e9a4fc9f2ef2af31e424914d,ambiguous,Age and blood pressure; metadata does not specify age recording resolution,not_documented
41,1,0.25,Age / Plasma glucose concentration,Age,Plasma glucose concentration,763,763,https://webdav.tuebingen.mpg.de/cause-effect/pair0041.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0041_des.txt,694dde20e9eec58ea09bf7bacad0db1780ba096faf6669d2fc8be9fdbaa6bb3f,ambiguous,Age and glucose concentration; metadata does not specify age recording resolution,not_documented
42,1,0.5,Day of the year / Temperature,Day of the year,Temperature,9162,9162,https://webdav.tuebingen.mpg.de/cause-effect/pair0042.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0042_des.txt,e526b94f7301818819e6b67a22cb6522e47cf79a3479a9ee0d8a73029f9e4a16,no,Metadata explicitly identifies day of year as int and daily temperature as float,temporal
43,1,0.25,Temperature at t / Temperature at t+1,Temperature at t,Temperature at t+1,10369,10369,https://webdav.tuebingen.mpg.de/cause-effect/pair0043.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0043_des.txt,8065a70184441f8c5081134d8eeaed7b86e99ba1111330fea7084e023944c343,yes,Daily air temperatures in Kelvin at two dates on a global spatial grid,spatial_temporal
44,1,0.25,Pressure at t / Pressure at t+1,Pressure at t,Pressure at t+1,10369,10369,https://webdav.tuebingen.mpg.de/cause-effect/pair0044.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0044_des.txt,96397bbd58e115bb04c33841fef46fcd39bdc4c195dcd71b99ae3e6bcc5ba75f,yes,Daily surface pressures at two dates on a global spatial grid,spatial_temporal
45,1,0.25,Sea level pressure at t / Sea level pressure at t+1,Sea level pressure at t,Sea level pressure at t+1,10369,10369,https://webdav.tuebingen.mpg.de/cause-effect/pair0045.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0045_des.txt,1e1470acd36e54128fde5564c10a0ae4f58b04689e9ff412226547a8b5d7d011,yes,Daily sea level pressures at two dates on a global spatial grid,spatial_temporal
46,1,0.25,Relative humidity at t / Relative humidity at t+1,Relative humidity at t,Relative humidity at t+1,10369,10369,https://webdav.tuebingen.mpg.de/cause-effect/pair0046.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0046_des.txt,6fc30418135045a96de6bfaad30b193819a3d6070c297ba72eeaec3a55fc892c,yes,Daily relative humidities at two dates on a global spatial grid,spatial_temporal
47,2,1.0,Number of cars / Type of day,Number of cars,Type of day,254,254,https://webdav.tuebingen.mpg.de/cause-effect/pair0047.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0047_des.txt,bd4a7ce33d1c2a39a1b4386cae788063ad584776755da751b38cec8a3c238fef,no,Metadata labels day type categorical and other variable is number of cars,spatial_temporal
48,2,1.0,Indoor temperature / Outdoor temperature,Indoor temperature,Outdoor temperature,168,168,https://webdav.tuebingen.mpg.de/cause-effect/pair0048.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0048_des.txt,e1b1e6579580e9fbd45836c2d1a7ad97e46eed879c004874557b11918705a15b,yes,Indoor and outdoor temperature from environmental time series,temporal
49,2,0.333,Ozone concentration / Temperature,Ozone concentration,Temperature,365,365,https://webdav.tuebingen.mpg.de/cause-effect/pair0049.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0049_des.txt,9b060c396d4f3bcbfa06e74a7ff08fdf09adc635cd86455df8fd007a49e951dd,yes,Daily mean ozone concentration and temperature at Lausanne-Cesar-Roux in 2009,temporal
50,2,0.333,Ozone concentration / Temperature,Ozone concentration,Temperature,365,365,https://webdav.tuebingen.mpg.de/cause-effect/pair0050.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0050_des.txt,c03e38ab3362afc3a71b5040456c1d8415bf42dc8c0178274d8d229fb1aa62e2,yes,Daily mean ozone concentration and temperature at Chaumont in 2009,temporal
51,2,0.334,Ozone concentration / Temperature,Ozone concentration,Temperature,365,365,https://webdav.tuebingen.mpg.de/cause-effect/pair0051.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0051_des.txt,86bebee79a89f4438129d4f20dc5e36b0da23c1d011690c1614d49bf6b0dab27,yes,Daily mean ozone concentration and temperature at Davos-See in 2009,temporal
56,2,0.083,"Female life expectancy, 2000-2005 / Latitude","Female life expectancy, 2000-2005",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0056.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0056_des.txt,2a9caf75153e4345548c6f8c4988bd605ae64487782c09a6600e2041662cd3db,yes,Female life expectancy 2000-2005 and capital latitude across countries,spatial
57,2,0.083,"Female life expectancy, 1995-2000 / Latitude","Female life expectancy, 1995-2000",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0057.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0057_des.txt,ed25bb55fdc291891a71588f8fec7ecbbbc89b84de5fe6a3d64bf72a49d86d18,yes,Female life expectancy 1995-2000 and capital latitude across countries,spatial
58,2,0.084,"Female life expectancy, 1990-1995 / Latitude","Female life expectancy, 1990-1995",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0058.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0058_des.txt,5e97a54d9b3bc7e6554360212a50bebfb2d38f7e3dfb8912feab25d6b54f4543,yes,Female life expectancy 1990-1995 and capital latitude across countries,spatial
59,2,0.083,"Female life expectancy, 1985-1990 / Latitude","Female life expectancy, 1985-1990",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0059.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0059_des.txt,72cee345fcd1f19f13603ac0ec283ed87018748ccc31a807a4e552f46246011e,yes,Female life expectancy 1985-1990 and capital latitude across countries,spatial
60,2,0.083,"Male life expectancy, 2000-2005 / Latitude","Male life expectancy, 2000-2005",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0060.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0060_des.txt,6b483edca94b5b0e26429a7d517f8753df52917f3dd7efe127655ce45fd0807c,yes,Male life expectancy 2000-2005 and capital latitude across countries,spatial
61,2,0.084,"Male life expectancy, 1995-2000 / Latitude","Male life expectancy, 1995-2000",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0061.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0061_des.txt,5d41ce58a6839f387ded60b5850e6b9bcf041d361ef46ea554d9edabfa7bdad2,yes,Male life expectancy 1995-2000 and capital latitude across countries,spatial
62,2,0.083,"Male life expectancy, 1990-1995 / Latitude","Male life expectancy, 1990-1995",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0062.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0062_des.txt,9523652d06e2abe6e20071825da2a077a22d3d4f7a93e5d4fcdd0cae81e9228c,yes,Male life expectancy 1990-1995 and capital latitude across countries,spatial
63,2,0.083,"Male life expectancy, 1985-1990 / Latitude","Male life expectancy, 1985-1990",Latitude,192,192,https://webdav.tuebingen.mpg.de/cause-effect/pair0063.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0063_des.txt,50d6098a1f9da3ebad9c78fc31a905788c019167be0b6b63fc1231d47c6b3ea0,yes,Male life expectancy 1985-1990 and capital latitude across countries,spatial
64,1,0.084,Drinking water access / Infant mortality,Drinking water access,Infant mortality,162,162,https://webdav.tuebingen.mpg.de/cause-effect/pair0064.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0064_des.txt,a344208d19b67cdbae2bbb0e82b94bded2799d13b0b7dc959f8cda663ca7092d,yes,Population water access percentage and infant mortality rate across countries,spatial
65,1,0.333,Stock return of Hang Seng Bank / Stock return of HSBC Hldgs,Stock return of Hang Seng Bank,Stock return of HSBC Hldgs,1331,1331,https://webdav.tuebingen.mpg.de/cause-effect/pair0065.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0065_des.txt,9e3cf54a8b8afe3ac5f0e0699ef6c99b27cfb3d7a264deb6b1df603572a49014,yes,Stock returns computed from adjusted prices; temporally aligned daily series,temporal
66,1,0.333,Stock return of Hutchison / Stock return of Cheung kong,Stock return of Hutchison,Stock return of Cheung kong,1331,1331,https://webdav.tuebingen.mpg.de/cause-effect/pair0066.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0066_des.txt,942316ff7c5e0d7668019df26f42f64c6d6d6772fb94afd4620edb01b987568f,yes,Stock returns computed from adjusted prices; temporally aligned daily series,temporal
67,1,0.334,Stock return of Cheung kong / Stock return of Sun Hung Kai Prop.,Stock return of Cheung kong,Stock return of Sun Hung Kai Prop.,1331,1331,https://webdav.tuebingen.mpg.de/cause-effect/pair0067.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0067_des.txt,824836a74930a8af0b07fb618b071add2055f5fff188322773b25a2509721a5f,yes,Stock returns computed from adjusted prices; temporally aligned daily series,temporal
68,2,1.0,Bytes sent / Open http connections,Bytes sent,Open http connections,498,498,https://webdav.tuebingen.mpg.de/cause-effect/pair0068.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0068_des.txt,9e03a1d0643291f86d5d740930b7742b9028badafb3169fdbbbf5f474e706f0d,no,Number of open HTTP connections and bytes sent are counts; per-minute time series,temporal
69,2,1.0,Inside temperature / Outside temperature,Inside temperature,Outside temperature,16382,16382,https://webdav.tuebingen.mpg.de/cause-effect/pair0069.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0069_des.txt,b00ea0d7e5e502d78cde3b50e442d6749c2e3d163c118d0ad559249e483b4173,yes,Inside and outside temperature measured every five minutes,temporal
70,1,1.0,Parameter / Answer,Parameter,Answer,4499,4499,https://webdav.tuebingen.mpg.de/cause-effect/pair0070.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0070_des.txt,d353140f4baaa36152c58abbdbd57bdbf280b836054379886557f43f0403fe62,no,Metadata explicitly labels discrete stimulus parameter 0-14 and binary sex guess,not_documented
72,1,1.0,Sunspots / Global mean temperature,Sunspots,Global mean temperature,1632,1632,https://webdav.tuebingen.mpg.de/cause-effect/pair0072.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0072_des.txt,53dbc343b07b2f192346c9bafc581f588e3267f767b5b42a458109d9a5178e7e,yes,Sunspot area and temperature anomaly; monthly values 1874-2010,temporal
73,2,0.083,CO2 emissions / Energy use,CO2 emissions,Energy use,5084,5084,https://webdav.tuebingen.mpg.de/cause-effect/pair0073.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0073_des.txt,6921ce28995720e80141932c5ee9c66617b6664089cc0cc268198dd7b31716c8,yes,CO2 emissions and energy use per capita over countries and years,spatial_temporal
74,1,0.083,GNI per capita / Life expectancy,GNI per capita,Life expectancy,194,194,https://webdav.tuebingen.mpg.de/cause-effect/pair0074.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0074_des.txt,d2b7953fa6a67884700d07eb67d89e0ece61d7d29b51931275abe0c5d7349842,yes,Gross national income per capita and life expectancy across countries,spatial
75,2,0.084,Under-5 mortality rate / GNI per capita,Under-5 mortality rate,GNI per capita,205,205,https://webdav.tuebingen.mpg.de/cause-effect/pair0075.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0075_des.txt,2c760728d451a2169e1f67c34f5e8e855dd66de8f7862a8690d2146e7d9dfe74,yes,Mortality rate and gross national income per capita across countries,spatial
76,1,1.0,Population growth / Food consumption growth,Population growth,Food consumption growth,347,347,https://webdav.tuebingen.mpg.de/cause-effect/pair0076.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0076_des.txt,dbccf8749eab8f46c02a3a46ce901c572fac24ae79cb6b84def03d03f4b5fc8e,yes,Annual rates of population and dietary consumption change over countries and two periods,spatial_temporal
77,2,0.5,Temperature / Solar radiation,Temperature,Solar radiation,8401,8401,https://webdav.tuebingen.mpg.de/cause-effect/pair0077.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0077_des.txt,11ac9c44461bd6c2c0b799d9247a2dcf69102cd15e8d4948ba9e71646c280846,yes,Daily mean temperature and solar radiation; same Furtwangen archive as pair42,temporal
78,1,0.3333,PPFD / Net Ecosystem Productivity,PPFD,Net Ecosystem Productivity,721,721,https://webdav.tuebingen.mpg.de/cause-effect/pair0078.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0078_des.txt,53d129fdcc69d4b76a24b4a47c04c3daa548056271b5e6a6ec70d88da1b6470e,yes,Photon flux density and ecosystem carbon flux at DE-Hai tower,temporal
79,2,0.3333,Net Ecosystem Productivity / Diffuse PPFDdif,Net Ecosystem Productivity,Diffuse PPFDdif,721,721,https://webdav.tuebingen.mpg.de/cause-effect/pair0079.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0079_des.txt,b8891abccf06f596fffe525e58f543115b364db26612d952e7b4f237ed437715,yes,Ecosystem carbon flux and diffuse photon flux density at same DE-Hai tower,temporal
